app_name,u50_slow_freq,u50_fast_freq,u280_slow_freq,u280_fast_freq,u280_ddr_slow_freq,u280_ddr_fast_freq,s10_fast_freq
cl_array_partition,200,303,200,284,200,314,
cl_burst_rw,200,549,200,518,200,471,300
cl_dataflow_func,200,565,200,493,200,425,
cl_dataflow_subfunc,200,532,200,547,200,435,
cl_helloworld,200,536,200,490,200,413,510
cl_lmem_2rw,200,522,200,501,200,443,500
cl_loop_reorder,200,350,200,350,200,310,
cl_partition_cyclicblock,200,294,200,250,200,250,
cl_shift_register,200,436,200,451,200,404,400
cl_systolic_array,200,290,200,250,200,250,
cl_gmem_2banks,300,427,300,426,300,416,273
cl_wide_mem_rw_strm,300,574,300,581,300,413,508
cl_wide_mem_rw_2x,300,549,300,533,300,486,508
cl_wide_mem_rw_4x,300,517,300,512,300,512,508
3d-rendering,200,267,200,268,200,250,
digit-recognition,200,304,200,250,200,250,
optical-flow,200,376,200,367,200,346,
spam-filter,200,526,200,460,200,438,
