app_name,1,2,3,4,5,average,stdev
cl_wide_mem_rw_u50_multichannel_300mhz,8.746331532020122,4.4239810990402475,4.61185727303382,4.559426767984405,4.633557549095713,5.395030844234862,1.8752060221264173
cl_wide_mem_rw_u50_multichannel_fast,9.111884700949304,4.5769523459021,4.597724310006015,4.57127075700555,4.5855151049327105,5.488669443759136,2.025463416604768
cl_wide_mem_rw_u50_singlechannel_300mhz,7.9463296670001,4.213849355932325,4.3277447710279375,4.166441196925007,4.344744484988041,4.999821895174682,1.6488631192600538
cl_wide_mem_rw_u50_singlechannel_fast,8.262538491049781,4.309692736016586,4.169710338930599,4.13188414007891,4.1546588219935074,5.005696905613877,1.8219582202523512
cl_wide_mem_rw_u280_multichannel_300mhz,10.277323065907694,4.5606534340186045,4.581152405939065,4.630751645076089,4.610339739010669,5.732044057990424,2.541030027688797
cl_wide_mem_rw_u280_multichannel_ddr_300mhz,12.908125656074844,4.305250326055102,4.397160973050632,4.311142737977207,4.14437536301557,6.013211011234671,3.855456473446087
cl_wide_mem_rw_u280_multichannel_ddr_fast,12.517686579958536,4.043284863000736,3.8041497418889776,4.024677445064299,3.9952278221026063,5.677005290403031,3.8252488025993454
cl_wide_mem_rw_u280_multichannel_fast,10.252131717978045,4.489343094988726,4.444666216033511,4.456864359905012,4.46097940497566,5.620796958776191,2.5890465848702973
cl_wide_mem_rw_u280_singlechannel_300mhz,9.520083398092538,4.398954784031957,4.349632235011086,4.335270719020627,4.391051109996624,5.398998449230566,2.3039136519340437
cl_wide_mem_rw_u280_singlechannel_ddr_300mhz,12.888629665016197,4.41965880501084,4.49932765995618,4.490755325066857,4.363014577073045,6.132277206424623,3.7773260679178002
cl_wide_mem_rw_u280_singlechannel_ddr_fast,12.814595467993058,4.24460762902163,4.185618374031037,4.165241401060484,4.115999629022554,5.905212500225753,3.862737617829897
cl_wide_mem_rw_u280_singlechannel_fast,9.454700205940753,4.145695796934888,4.145665677962825,4.2384064780781046,4.310778839047998,5.2590493995929135,2.346465121953883
