app_name,kernel_input_data_size,iterations,data_to_fpga_avg_time,kernel_avg_time,data_to_host_avg_time
cl_wide_mem_rw_u50_multichannel_300mhz,8388608,1000,1227728,1562076,481123
cl_wide_mem_rw_u50_multichannel_fast,8388608,1000,1254229,1527463,496875
cl_wide_mem_rw_u50_singlechannel_300mhz,8388608,1000,911190,1594102,514977
cl_wide_mem_rw_u50_singlechannel_fast,8388608,1000,916791,1495477,471026
cl_wide_mem_rw_u280_multichannel_300mhz,8388608,1000,1235637,1568108,498460
cl_wide_mem_rw_u280_multichannel_ddr_300mhz,8388608,1000,905563,1559711,517180
cl_wide_mem_rw_u280_multichannel_ddr_fast,8388608,1000,915901,1368986,467853
cl_wide_mem_rw_u280_multichannel_fast,8388608,1000,1252870,1503404,499286
cl_wide_mem_rw_u280_singlechannel_300mhz,8388608,1000,915086,1601039,515913
cl_wide_mem_rw_u280_singlechannel_ddr_300mhz,8388608,1000,1151856,1430584,498415
cl_wide_mem_rw_u280_singlechannel_ddr_fast,8388608,1000,1155766,1270504,498716
cl_wide_mem_rw_u280_singlechannel_fast,8388608,1000,904579,1499563,514429
